Serial,Star,Distance,Mass,Radius
1,Sun,134,1,1
1,Sirius,118.6,2.1,1.71
2,Canopus,131,15,71
3,Alpha Centauri,114.4,1.1,1.2
4,Arcturus,137,1.1,26
5,Vega,1125,2.2,2.7
6,Capella,1143,2.6,12
7,Rigel,1861,23,78.9
8,Procyon,1111.4,1.5,1.9
9,Betelgeuse,1641,21,951
10,Achernar,1144,6.7,9.3
11,Hadar,1391,11.5,8.6
12,Altair,117,1.8,1.8
13,Acrux,1321,18,8.9
14,Aldebaran,95,1.5,44
15,Antares,611,12,681
16,Spica,1261,11.43,7.47
17,Pollux,1134,1.9,8.8
18,Fomalhaut,1125,1.9,1.8
19,Deneb,91,19,213
20,Mimosa,1351,16,8.4
21,Regulus,1177,3.8,3.1
22,Adhara,1431,12.5,14
23,Shaula,1711,14.5,8.8
24,Castor,1152,2.8,2.4
25,Gacrux,1188,1.5,84
26,Bellatrix,1241,8.6,5.8
27,Elnath,1131,5.1,4.2
28,Miaplacidus,1111,3.5,6.8
29,Alnilam,2,111,32
30,Gamma Velorum,11,111,9.1
31,Alnair,1111,4.1,3.4
32,Alioth,1181,2.9,4.2
33,Alnitak,11151,33,21
34,Dubhe,1121,4.25,31
35,Mirfak,1591,8.5,68
36,Wezen,1,611,17
37,Sargas,1271,5.7,26
38,Kaus Australis,1141,3.5,6.8
39,Avior,1631,9.1,131
40,Alkaid,1114,6.1,3.4
41,Menkalinan,181,2.39,2.77
42,Atria,1391,7,92
43,Alhena,1119,2.8,3.3
44,Peacock,1181,5.9,4.8
45,Alsephina[2],1181,2.4,2.9
46,Mirzam,1511,13.5,11
47,Polaris,1431,5.4,39
48,Alphard,1181,3.1,51
49,Mintaka,11211,24,16.5
50,Scheat,1196,2.1,95
51,Almaaz,1653,15,141
52,Rasalgethi,1361,2.8,281
53,Tau Ceti,111.9,1.783,1.893
54,Delta Pavonis,119.92,1.991,1.22
55,Ran,111.48,1.82,1.74
56,V382 Carinae,18,911,21
57,Eta Carinae,17,511,111
58,Delta Cephei,1887,4.5,44.5
59,Mu Cephei,16,111,19.2
60,Titawin,144.25,1.27,1.48
61,Rho Cassiopeiae,18,154,22
62,P Cygni,15,545,31
63,La Superba,11,111,12
64,VV Cephei,14,911,18.2
65,61 Cygni,111.41,1.7,1.665
66,R Doradus,1178,1.7,298
67,Polaris Australis,1281,1.59,3.74
68,R Coronae Borealis,14,566,1.85
69,54 Piscium,136.1,1.76,1.94
70,Mira,1311,1.2,371
71,RW Cephei,114,111,13.9
72,Lacaille 8761,112.87,1.6,1.51
73,V838 Monocerotis,119,896,34
74,HD 141283,1191,12,1.4
75,II Pegasi,1131,1.8,3.4
76,VY Canis Majoris,13,911,17
77,Pistol Star,125,111,111
78,S Doradus,1169,111,24
79,UY Scuti,15,111,7
80,Barnards Star,15.98,1.14,1.21
81,Luhman 16,16.52,1.14,12
82,Proxima Centauri,14.25,1.12,1.15
83,KIC 8462852,11,471,1.43
84,R136a1,1163,111,291
85,Melnick 42,1163,111,189
86,WR 112,118,134,19
87,VFTS 352,1164,111,57.48
88,YBP 1194,12,772,1.11
89,Gliese 1214,147.5,1.16,1.21
90,NML Cygni,15,251,51
91,VB 11,118.72,1.175,1.11
92,WOH G64,1163,111,21
93,TRAPPIST-1,139.6,1.189,1.12
94,2MASS J1523-1413,141.3,1.17,1.186
95,WISE 1714,17.27,1.113,234
96,Icarus,114,411,111
97,Pegasus,54,46.1,4.5
98,Tucana,64,192,1
99,Phoenix,41,212,5
100,Pisces,1,37.7,9.5
101,Cassiopeia,47,143,4
102,Pisces,53,236,9.5
103,Andromeda,22,46.9,8
104,Cetus,14,87.2,7
105,Cetus,15,131,4
106,Pisces,55,31,6.5
107,Pisces,18,28.6,3.5
108,Pisces,16,57,2
109,Cassiopeia,68,41,7.5
110,Sculptor,33,34,7
111,Sculptor,2842,213,7.5
112,Cetus,623.9,96,1
113,Cetus,11.3,31,8.5
114,Pisces,19,71,6
115,Cetus,174,51,8
116,Sculptor,34,163,2
117,Phoenix,46,131,1
118,Sisca,144,71,1
119,Cetus,11,65,5.5
120,Cetus,11,65,8
121,Cetus,11,65,1
122,Cetus,11,111,4.5
123,Cetus,31,111,1
124,Cetus,64,155,1
125,Cetus,3,152,1
126,Fornax,24,35,6
127,Fornax,16,53,8
128,Fornax,1,123,8
129,Aries,16,12.578,7
130,Fornax,32,184,7
131,Cetus,276,24,8
132,Eridanus,47,16.2,8
133,Fornax,34,45,7
134,Fornax,18,47,8
135,Fornax,46,192,1
136,Fornax,465,59,5.5
137,Eridanus,21,81,5
138,Taurus,23,98,8
139,Taurus,49,27.1,9
140,Fornax,35,21.9,9
141,Taurus,25,88,1
142,Taurus,24,381,8
143,Taurus,154,48,8
144,Taurus,11,29.8,5
145,Horologium,44,131,1
146,Eridanus,97,18.6,8
147,Eridanus,47,51,7.5
148,Eridanus,22,85,1.5
149,Taurus,16,34,7
150,Eridanus,41,142,8
151,Eridanus,23,29.5,6.5
152,Eridanus,23,471,8.5
153,Eridanus,125.1,82,9
154,Caelum,31,42,2
155,Caelum,34,69,1.5
156,Orion,331,44,4
157,Orion,111,64,4
158,Orion,445,73,5.5
159,Lepus,14,41,2.5
160,Camelopardalis,82,81,7
161,Camelopardalis,159,41.62,5
162,Lepus,14,34,4.5
163,Auriga,39,34.6,1
164,Camelopardalis,27,112,8.5
165,Camelopardalis,411,69,9
166,Camelopardalis,41,69,1
167,Puppis,45,39,5
168,Puppis,43,65,1.5
169,Canis Major,25,51,1
170,Gemini,31,41,3.5
171,Monoceros,49,61,9
172,Monoceros,15,13.4,9
173,Gemini,17,29.6,7
174,Puppis,39,25.8,8
175,Gemini,21,49,5
176,Gemini,21,49.6,1.5
177,Puppis,25,55,2.5
178,Puppis,16,61,7
179,Carina,61,16.1,6
180,Vela,49,67,1.5
181,Vela,49,67,5.5
182,Cancer,21,35,7.5
183,Lynx,48,43,8
184,Lynx,97,55,6.5
185,Hydra,128,77,4.5
186,Hydra,8,23.53,5
187,Hydra,15,43,2
188,Lynx,3,27.6,9
189,Pyxis,19,51,6
190,Lynx,35,95,6.5
191,Leo,29,21.1,6
192,Antlia,24,17.4,8
193,Hydra,15,59,2
194,Lynx,45,46,5
195,Sextans,464,55,6
196,Leo,138,118,2
197,Lynx,34,95,3
198,Ursa Major,58,61,1
199,Antlia,35,53,6
200,Leo,21,34.4,6.5
201,Antlia,39,13.15,9
202,Vela,53,6.516,1
203,Vela,53,6.516,8
204,Crater,15,49,3
205,Lynx,34,181,8.5
206,Chamaeleon,77,163,7.5
207,Chamaeleon,76,554,9.5
208,Chamaeleon,116,63,5.5
209,Hydra,26,18.2,7.5
210,Hydra,31,137,9
211,Hydra,22,89,3
212,Hydra,34,129,1
213,Centaurus,37,31,2
214,Centaurus,39,34,8
215,Centaurus,39,65,8
216,Centaurus,39,217,1
217,Virgo,311,36,7.5
218,Centaurus,27,43,6
219,Corvus,15,66,5
220,Draco,65,45.6,6.5
221,Ursa Major,55,119,5
222,Centaurus,44,262,9.5
223,Virgo,122,38,2
224,Hydra,25,61,2
225,Hydra,25,61,4
226,Virgo,4,111,3
227,Virgo,1,65,8
228,Virgo,1,48,6.5
229,Virgo,412,51,1
230,Virgo,133,29.7,7.5
231,Boötes,51,149,4.5
232,Centaurus,36,38,3
233,Boötes,33,38.5,9
234,Boötes,19,47,1
235,Boötes,13,72,8
236,Boötes,11,47,4
237,Boötes,11,114,9
238,Boötes,11,114,1
239,Boötes,22,35.1,8.5
240,Boötes,25,21.7,5
241,Boötes,11,71,7
242,Boötes,13,46,3
243,Libra,16,23.9,5
244,Libra,241,53,9
245,Serpens,67,89,2
246,Boötes,484,34,6
247,Serpens,21,67,7
248,Libra,52,51,4
249,Lupus,33,37,5.5
250,Corona Borealis,29,68,1
251,Libra,95,44,1
252,Hercules,13,48,6
253,Serpens,129,36,6
254,Hercules,39,111,4
255,Hercules,19,51,8
256,Hercules,56,28,9
257,Draco,71,61,1
258,Draco,15,114,3
259,Draco,39,79,7
260,Draco,17,91,3.5
261,Draco,48,39,5.5
262,Lyra,325,18.5,8.5
263,Lyra,319,138,4
264,Lyra,419,46,8
265,Lyra,75,115,9
266,Lyra,71,65,1
267,Lyra,25,47,1.5
268,Lyra,17,118,7.5
269,Lyra,11,62,2.5
270,Capricornus,22,81,7
271,Capricornus,42,113,7.5
272,Aquarius,22,32.1,1.5
273,Aquarius,41,26.3,6
274,Aquarius,21,25,9
275,Aquarius,42,93,4
276,Aquarius,29,154,3
277,Aquarius,158,38,4.5
278,Grus,43,35,6
279,Grus,39,64,9.5
280,Grus,21,56,6.5
281,Grus,31,56,1
282,Grus,61,148,2
283,Grus,25,67,8
284,Grus,15,74,5.5
285,Andromeda,37,23.2,9
286,Cetus,17,87.1,6
287,Phoenix,46,48.6,8
288,Sculptor,38,71.8,2
289,Phoenix,49,62.9,8.5
290,Andromeda,27,36.9,9
291,Cepheus,84,111.8,6
292,Pisces,91,47.6,7
293,Pisces,441,62.6,9
294,Andromeda,21,24.1,8.5
295,Pisces,15,142.9,8
296,Andromeda,41,67.2,7
297,Pisces,17,77.3,6
298,Cetus,3,57.7,3
299,Andromeda,42,21.5,1
300,Hydrus,72,31,9.5
